 format: day,hour,value location:55_112 Start : 20200101 
1,0,-0.2
1,100,2.4
1,200,2
1,300,1.2
1,400,1.3
1,500,1.1
1,600,1
1,700,0.4
1,800,0.2
1,900,0.1
1,1000,0.2
1,1100,0.1
1,1200,0
1,1300,0
1,1400,0
1,1500,-0.3
1,1600,-0.2
1,1700,-0.4
1,1800,-0.1
1,1900,0.3
1,2000,0.8
1,2100,1.1
1,2200,1
1,2300,0.6
2,0,1
2,100,1.8
2,200,3
2,300,3.8
2,400,4
2,500,4.7
2,600,4.2
2,700,3.3
2,800,1.4
2,900,1
2,1000,1.3
2,1100,1.1
2,1200,1.4
2,1300,0.7
2,1400,0.2
2,1500,0.3
2,1600,-0.2
2,1700,0.5
2,1800,-0.3
2,1900,-0.5
2,2000,-1.3
2,2100,-2.1
2,2200,-1.7
2,2300,-0.3
3,0,1.7
3,100,3.3
3,200,4.2
3,300,5.2
3,400,4.9
3,500,5.3
3,600,4.1
3,700,2.5
3,800,0
3,900,0
3,1000,-0.7
3,1100,-0.6
3,1200,-1.9
3,1300,-2.3
3,1400,-1.8
3,1500,-2.3
3,1600,-1
3,1700,-1.2
3,1800,-1.9
3,1900,-1.7
3,2000,0.4
3,2100,1.1
3,2200,-1.7
3,2300,0.2
4,0,2.4
4,100,5
4,200,6.1
4,300,6
4,400,6.7
4,500,6.7
4,600,5.7
4,700,3.5
4,800,1.3
4,900,0.3
4,1000,-0.7
4,1100,-0.6
4,1200,-1.3
4,1300,-1.6
4,1400,-2
4,1500,-2.9
4,1600,-3
4,1700,-3.2
4,1800,-3
4,1900,-2.7
4,2000,-4.3
4,2100,-3.9
4,2200,-4.6
4,2300,-2
5,0,2.3
5,100,3.9
5,200,4.7
5,300,5.8
5,400,5.9
5,500,5.5
5,600,4.6
5,700,3.6
5,800,2.3
5,900,2
5,1000,0.6
5,1100,-0.3
5,1200,-1
5,1300,-0.6
5,1400,-0.6
5,1500,0.2
5,1600,1.1
5,1700,1.2
5,1800,1
5,1900,1.1
5,2000,1.4
5,2100,1.1
5,2200,0.7
5,2300,1.6
6,0,2.5
6,100,2.2
6,200,2.5
6,300,3.3
6,400,3.3
6,500,3.2
6,600,3
6,700,2.9
6,800,3
6,900,3.1
6,1000,3.3
6,1100,3.6
6,1200,3.9
6,1300,4
6,1400,4.2
6,1500,4.4
6,1600,4.6
6,1700,4.9
6,1800,5.1
6,1900,5.3
6,2000,5.4
6,2100,5.5
6,2200,5.7
6,2300,5.9
7,0,6.3
7,100,6.6
7,200,6.9
7,300,7
7,400,7.2
7,500,7.2
7,600,7.3
7,700,7.6
7,800,8.1
7,900,8.5
7,1000,13.3
7,1100,12.1
7,1200,11.3
7,1300,10.7
7,1400,7.6
7,1500,5.9
7,1600,5.7
7,1700,4.6
7,1800,3.7
7,1900,4.2
7,2000,4
7,2100,3.8
7,2200,3.4
7,2300,3.2
8,0,3.2
8,100,3.4
8,200,3.2
8,300,3.2
8,400,3.2
8,500,3.2
8,600,3
8,700,2.7
8,800,2.5
8,900,2.3
8,1000,2.2
8,1100,2
8,1200,2
8,1300,1.8
8,1400,1.5
8,1500,1.2
8,1600,1.2
8,1700,0
8,1800,-0.1
8,1900,0.1
8,2000,-0.3
8,2100,-0.5
8,2200,-0.5
8,2300,0.1
9,0,0.9
9,100,1.1
9,200,2.2
9,300,1.6
9,400,1.5
9,500,1.6
9,600,0.9
9,700,0.3
9,800,-1.1
9,900,-1.8
9,1000,-2.1
9,1100,-1.9
9,1200,-2.3
9,1300,-2.9
9,1400,-3.4
9,1500,-3.9
9,1600,-3.8
9,1700,-4.1
9,1800,-4.1
9,1900,-4.4
9,2000,-4.4
9,2100,-4.6
9,2200,-4.5
9,2300,-2.8
10,0,-0.8
10,100,1
10,200,2.5
10,300,2.9
10,400,3.9
10,500,3.6
10,600,3.3
10,700,2.1
10,800,-0.3
10,900,-0.6
10,1000,-0.8
10,1100,-1
10,1200,-1.7
10,1300,-2.4
10,1400,-1.5
10,1500,-1.7
10,1600,-2.4
10,1700,-2.9
10,1800,-1.8
10,1900,-1.4
10,2000,-1.8
10,2100,-1.7
10,2200,-1
10,2300,-0.7
11,0,1.8
11,100,3.1
11,200,3
11,300,3.7
11,400,4.3
11,500,4.2
11,600,3.1
11,700,1.5
11,800,0.2
11,900,-0.5
11,1000,-0.9
11,1100,-0.8
11,1200,-0.5
11,1300,-0.5
11,1400,-0.1
11,1500,-0.1
11,1600,-0.4
11,1700,-1.1
