 format: day,hour,value location:55_112 Start : 20200101 
1,0,81
1,100,64
1,200,69
1,300,72
1,400,72
1,500,78
1,600,83
1,700,84
1,800,87
1,900,87
1,1000,87
1,1100,89
1,1200,91
1,1300,89
1,1400,90
1,1500,92
1,1600,92
1,1700,91
1,1800,88
1,1900,83
1,2000,77
1,2100,76
1,2200,78
1,2300,85
2,0,82
2,100,79
2,200,75
2,300,75
2,400,74
2,500,70
2,600,73
2,700,81
2,800,88
2,900,91
2,1000,90
2,1100,90
2,1200,88
2,1300,92
2,1400,93
2,1500,90
2,1600,90
2,1700,86
2,1800,92
2,1900,92
2,2000,94
2,2100,96
2,2200,96
2,2300,95
3,0,81
3,100,78
3,200,69
3,300,60
3,400,57
3,500,45
3,600,57
3,700,66
3,800,80
3,900,82
3,1000,85
3,1100,85
3,1200,88
3,1300,92
3,1400,90
3,1500,93
3,1600,88
3,1700,90
3,1800,96
3,1900,94
3,2000,87
3,2100,80
3,2200,94
3,2300,88
4,0,83
4,100,72
4,200,71
4,300,60
4,400,52
4,500,53
4,600,49
4,700,57
4,800,67
4,900,73
4,1000,80
4,1100,76
4,1200,82
4,1300,83
4,1400,83
4,1500,86
4,1600,87
4,1700,88
4,1800,85
4,1900,83
4,2000,91
4,2100,87
4,2200,91
4,2300,84
5,0,57
5,100,53
5,200,44
5,300,37
5,400,36
5,500,31
5,600,40
5,700,46
5,800,57
5,900,61
5,1000,68
5,1100,72
5,1200,77
5,1300,75
5,1400,79
5,1500,72
5,1600,67
5,1700,64
5,1800,66
5,1900,66
5,2000,66
5,2100,85
5,2200,94
5,2300,90
6,0,72
6,100,89
6,200,93
6,300,92
6,400,93
6,500,95
6,600,96
6,700,97
6,800,98
6,900,99
6,1000,99
6,1100,99
6,1200,99
6,1300,99
6,1400,99
6,1500,99
6,1600,99
6,1700,99
6,1800,99
6,1900,99
6,2000,99
6,2100,99
6,2200,99
6,2300,99
7,0,99
7,100,99
7,200,99
7,300,99
7,400,99
7,500,99
7,600,99
7,700,99
7,800,99
7,900,99
7,1000,99
7,1100,99
7,1200,99
7,1300,98
7,1400,96
7,1500,96
7,1600,96
7,1700,94
7,1800,97
7,1900,93
7,2000,92
7,2100,92
7,2200,94
7,2300,94
8,0,95
8,100,94
8,200,93
8,300,93
8,400,92
8,500,91
8,600,89
8,700,90
8,800,88
8,900,85
8,1000,78
8,1100,81
8,1200,78
8,1300,76
8,1400,74
8,1500,74
8,1600,73
8,1700,84
8,1800,83
8,1900,78
8,2000,83
8,2100,82
8,2200,80
8,2300,77
9,0,73
9,100,73
9,200,68
9,300,72
9,400,69
