 format: day,hour,value location:55_112 Start : 20180101 
1,0,1
1,100,2.1
1,200,3.3
1,300,3.5
1,400,3
1,500,3.2
1,600,2.8
1,700,0.7
1,800,-2
1,900,-2.6
1,1000,-3.3
1,1100,-2.5
1,1200,-2.8
1,1300,-2.6
1,1400,-3.2
1,1500,-3.1
1,1600,-2.7
1,1700,-3
1,1800,-2.7
1,1900,-2.6
1,2000,-3.3
1,2100,-3
1,2200,-3.8
1,2300,-3.4
2,0,-1.8
2,100,-0.3
2,200,1.1
2,300,1.4
2,400,1.6
2,500,1
2,600,0
2,700,-1.1
2,800,-1.4
2,900,-2.1
2,1000,-1.8
2,1100,-1.6
2,1200,-1.4
2,1300,-1.8
2,1400,-2.9
2,1500,-3.8
2,1600,-4.3
2,1700,-4.8
2,1800,-4.9
2,1900,-5.2
2,2000,-5.7
2,2100,-6.2
2,2200,-5.7
2,2300,-3.8
3,0,-2.2
3,100,-0.9
3,200,-0.2
3,300,-0.4
3,400,-0.8
3,500,-1.2
3,600,-2.4
3,700,-3.3
3,800,-3.7
3,900,-4.4
3,1000,-4.2
3,1100,-4.4
3,1200,-3.2
3,1300,-3.8
3,1400,-4.6
3,1500,-5.6
3,1600,-6.1
3,1700,-6.6
3,1800,-6.1
3,1900,-5.7
3,2000,-5.7
3,2100,-5.9
3,2200,-6.3
3,2300,-4.6
4,0,-3.6
4,100,-2.5
4,200,-1.7
4,300,-1.9
4,400,-2.4
4,500,-2.9
4,600,-3.2
4,700,-3.7
4,800,-3.9
4,900,-3.9
4,1000,-4.1
4,1100,-4.2
4,1200,-4.2
4,1300,-4.7
4,1400,-4.3
4,1500,-4.6
4,1600,-5.1
4,1700,-4.9
4,1800,-5.2
4,1900,-4.8
4,2000,-4.9
4,2100,-5
4,2200,-4.4
4,2300,-2.9
5,0,-0.6
5,100,1.3
5,200,1.1
5,300,1.6
5,400,1.8
5,500,0.5
5,600,0
5,700,-0.3
5,800,0
5,900,-1.4
5,1000,-1.3
5,1100,-2
5,1200,-2.1
5,1300,-2.2
5,1400,-2.1
5,1500,-2.6
5,1600,-3.8
5,1700,-5.3
5,1800,-6
5,1900,-6
5,2000,-6.1
5,2100,-6.4
5,2200,-6.3
5,2300,-3.3
6,0,-0.1
6,100,1.3
6,200,2.2
6,300,2.4
6,400,2.1
6,500,1.7
6,600,0.4
6,700,-1.3
6,800,-2.6
6,900,-3.9
6,1000,-3.9
6,1100,-4.6
6,1200,-5.9
6,1300,-6
6,1400,-7.2
6,1500,-7.5
6,1600,-8
6,1700,-7.9
6,1800,-8.4
6,1900,-8.8
6,2000,-6.6
6,2100,-6.1
6,2200,-4.7
6,2300,-3.5
7,0,-2
7,100,0
7,200,0
7,300,0.7
7,400,1.1
7,500,1.3
7,600,0.9
7,700,0.1
7,800,0.4
7,900,0.1
7,1000,0.3
7,1100,0.2
7,1200,0
7,1300,0
7,1400,-0.3
7,1500,-0.4
7,1600,-0.1
7,1700,-0.3
7,1800,-0.1
7,1900,-0.5
7,2000,-1.3
7,2100,-1.7
7,2200,-1.9
7,2300,-1.7
8,0,-0.4
8,100,0.8
8,200,1.4
8,300,2.6
8,400,2.9
8,500,3.2
8,600,2.3
8,700,0.7
8,800,0.9
8,900,1.5
8,1000,2.2
8,1100,1.4
8,1200,-0.2
8,1300,-1.1
8,1400,-1.6
8,1500,-1.7
8,1600,-2.6
8,1700,-3.2
8,1800,-3.3
8,1900,-3.4
8,2000,-3.1
8,2100,-3.5
8,2200,-3.4
8,2300,-3.2
9,0,-1.9
9,100,-1.3
9,200,-0.8
9,300,-0.4
9,400,-1.1
9,500,-1.7
9,600,-1.7
9,700,-2.1
9,800,-1.9
9,900,-2.5
9,1000,-2.5
9,1100,-2.8
9,1200,-4.2
9,1300,-3.7
9,1400,-3.2
9,1500,-3.3
9,1600,-4.5
9,1700,-6.8
9,1800,-8
9,1900,-9.7
9,2000,-10.4
9,2100,-10.2
9,2200,-8.5
9,2300,-7.4
10,0,-5.1
10,100,-4.5
10,200,-4
10,300,-4.6
10,400,-4.8
10,500,-5.5
10,600,-6
10,700,-6.3
10,800,-5.6
10,900,-6.1
10,1000,-6.6
10,1100,-7
10,1200,-7.5
10,1300,-7.9
10,1400,-8.5
10,1500,-8.4
10,1600,-8
10,1700,-8
10,1800,-8.4
10,1900,-8.6
10,2000,-9.3
10,2100,-9.3
10,2200,-9.3
10,2300,-9.6
11,0,-8.5
11,100,-7.8
11,200,-7.1
11,300,-7.7
11,400,-8.2
11,500,-8.8
11,600,-8.7
11,700,-8.7
11,800,-8.4
11,900,-8.3
11,1000,-8.2
11,1100,-8.6
11,1200,-9.1
11,1300,-9.6
11,1400,-9.9
11,1500,-10
11,1600,-10.2
11,1700,-10.5
11,1800,-10.5
11,1900,-10.7
11,2000,-10.8
11,2100,-11.2
11,2200,-11.3
11,2300,-10.8
12,0,-9.4
12,100,-8.1
12,200,-7.3
12,300,-6.7
12,400,-5.9
12,500,-5.7
12,600,-6.2
12,700,-8.2
12,800,-8.1
12,900,-7.8
12,1000,-7.5
12,1100,-7.5
12,1200,-6.8
12,1300,-6.2
12,1400,-6.1
12,1500,-6.1
12,1600,-5.9
12,1700,-5.6
12,1800,-5.3
12,1900,-5
12,2000,-5.7
12,2100,-5.4
12,2200,-4.9
12,2300,-4
13,0,-2.3
13,100,0
13,200,2.2
13,300,1.9
13,400,1.8
13,500,1.5
13,600,1.3
13,700,-0.6
13,800,-3.3
13,900,-3.7
13,1000,-4.4
13,1100,-5.2
13,1200,-5.9
13,1300,-5.9
13,1400,-6.6
13,1500,-6.8
13,1600,-7.2
13,1700,-7.2
13,1800,-7.9
13,1900,-9.1
13,2000,-7.7
13,2100,-7.4
13,2200,-6.9
13,2300,-5
14,0,-1.5
14,100,1.6
14,200,4.6
14,300,5.7
14,400,5.8
14,500,5.3
14,600,4.1
14,700,3.1
14,800,2.6
14,900,1.9
14,1000,1.8
14,1100,3.2
14,1200,2.2
14,1300,3.8
14,1400,3.8
14,1500,3.8
14,1600,3.8
14,1700,3.6
14,1800,3.6
14,1900,3.7
14,2000,3.3
14,2100,2.5
14,2200,1.6
14,2300,1.7
15,0,4.6
15,100,5.8
15,200,7.1
15,300,6.7
15,400,6.2
15,500,6
15,600,5.4
15,700,2.9
15,800,0.8
15,900,0.4
15,1000,-0.1
15,1100,-0.6
15,1200,-1.2
15,1300,-1.8
15,1400,-2.5
15,1500,-3.4
15,1600,-4.1
15,1700,-3.8
15,1800,-2.4
15,1900,-2
15,2000,-1.1
15,2100,-1.1
15,2200,-1.1
15,2300,0
16,0,2.1
16,100,3.7
16,200,3.2
16,300,4.6
16,400,5
16,500,5.5
16,600,4.2
16,700,3.6
16,800,3.3
16,900,2.9
16,1000,2.6
16,1100,2.5
16,1200,2.5
16,1300,2.3
16,1400,2.3
16,1500,2.2
16,1600,1.7
16,1700,1.3
16,1800,1.1
16,1900,1
16,2000,0.8
16,2100,0.4
16,2200,0.4
16,2300,1
17,0,2.2
17,100,3.6
17,200,4.7
17,300,5.1
17,400,5.8
17,500,5.6
17,600,4.7
17,700,3.7
17,800,1.4
17,900,1.1
17,1000,1
17,1100,1.3
17,1200,1.2
17,1300,1.9
17,1400,1.9
17,1500,2.2
17,1600,2.6
17,1700,2.9
17,1800,1.9
17,1900,0.5
17,2000,-1.3
17,2100,-1.4
17,2200,-0.7
17,2300,0.1
18,0,1.3
18,100,2.3
18,200,3.1
18,300,3.6
18,400,3.7
18,500,3.5
18,600,2.7
18,700,1.6
18,800,1.1
18,900,0.6
18,1000,0
18,1100,-0.3
18,1200,-0.8
18,1300,-1.2
18,1400,-1.6
18,1500,-2.1
18,1600,-2.5
18,1700,-3.3
18,1800,-3.3
18,1900,-3.3
18,2000,-4.1
18,2100,-4.2
18,2200,-4.3
18,2300,-2.4
19,0,0.5
19,100,2.3
19,200,4.1
19,300,5.1
19,400,4.9
19,500,4.8
19,600,2.7
19,700,1.8
19,800,-1.3
19,900,-2.1
19,1000,-1.7
19,1100,-2.9
19,1200,-2.4
19,1300,-3.5
19,1400,-3.1
19,1500,-2.6
19,1600,-2.8
19,1700,-2.1
19,1800,-2.1
19,1900,-1.9
19,2000,-3.1
19,2100,-2.6
19,2200,-1.6
19,2300,0.4
20,0,2.9
20,100,5
20,200,7.1
20,300,7.5
20,400,6.8
20,500,6.5
20,600,5.3
20,700,3.6
20,800,0.5
20,900,-0.2
20,1000,-1.5
20,1100,-1.9
20,1200,-1.7
20,1300,-1.7
20,1400,-2.1
20,1500,-3.3
20,1600,-4.4
20,1700,-5.1
20,1800,-5.7
20,1900,-5.8
20,2000,-5.4
20,2100,-5.9
20,2200,-5.9
20,2300,-3
21,0,-0.8
21,100,1.6
21,200,3
21,300,4.2
