 format: day,hour,value location:55_113 Start : 20160301 
1,0,-2.9
1,100,-1.4
1,200,-0.2
1,300,0.6
1,400,1.6
1,500,1.7
1,600,1.8
1,700,2.4
1,800,1.6
1,900,0.6
1,1000,-0.1
1,1100,-0.7
1,1200,-1.2
1,1300,-1.2
1,1400,-1.6
1,1500,-1.9
1,1600,-1.8
1,1700,-2.4
1,1800,-1.9
1,1900,-1
1,2000,-1.9
1,2100,-2.1
1,2200,-2.2
1,2300,-1
2,0,1.5
2,100,3.5
2,200,5
2,300,7
2,400,7.7
2,500,8
2,600,8.2
2,700,7.6
2,800,7.1
2,900,5.3
2,1000,4.3
2,1100,3.9
2,1200,3.7
2,1300,3.8
2,1400,3.8
2,1500,3.1
2,1600,3.3
2,1700,3.2
2,1800,3.7
2,1900,3.8
2,2000,3.2
2,2100,4.2
2,2200,4.7
2,2300,5.3
3,0,6.4
3,100,7.6
3,200,8.5
3,300,9.7
3,400,11.5
3,500,12.7
3,600,12.8
3,700,13
3,800,12.3
3,900,11.2
3,1000,8.8
3,1100,7.9
3,1200,7.6
3,1300,7.3
3,1400,8.1
3,1500,7.3
3,1600,6.9
3,1700,7.1
3,1800,7
3,1900,7.2
3,2000,7.6
3,2100,7.4
3,2200,7.6
3,2300,7.9
4,0,10.1
4,100,12.7
4,200,15.1
4,300,16.299999
4,400,16.700001
4,500,18.5
4,600,17.4
4,700,15.7
4,800,14.6
4,900,14.1
4,1000,13.1
4,1100,12.5
4,1200,12.3
4,1300,12.1
4,1400,11.4
4,1500,11.2
4,1600,10.6
4,1700,10.2
4,1800,9.9
4,1900,10.6
4,2000,9.9
4,2100,11.1
4,2200,11.6
4,2300,12.1
5,0,14.2
5,100,15
5,200,16.4
5,300,15.9
5,400,16.4
5,500,17.5
5,600,15.6
5,700,14.1
5,800,13.1
5,900,12.1
5,1000,11
5,1100,10
5,1200,8.9
5,1300,7.9
5,1400,7.1
5,1500,6.6
5,1600,6
5,1700,5
5,1800,4.9
5,1900,5
5,2000,4.8
5,2100,4.4
5,2200,4
5,2300,3.8
6,0,4.2
6,100,6.2
6,200,7.5
6,300,8.7
6,400,9.6
6,500,10.2
6,600,10.6
6,700,10.5
6,800,9
6,900,7.6
6,1000,5.8
6,1100,5.6
6,1200,4.8
6,1300,3.9
6,1400,3.3
6,1500,3.6
6,1600,2.7
6,1700,2.6
6,1800,2.7
6,1900,2.1
6,2000,3.2
6,2100,4.2
6,2200,4.4
6,2300,5.4
7,0,7.2
7,100,8.5
7,200,8.9
7,300,10
7,400,10.7
7,500,10.8
7,600,10.1
7,700,10
7,800,9.3
7,900,8.8
7,1000,7.3
7,1100,6.2
7,1200,5.8
7,1300,5.6
7,1400,5.4
7,1500,5.6
7,1600,5.5
7,1700,5.1
7,1800,4.7
7,1900,4.3
7,2000,4
7,2100,3
7,2200,3.3
7,2300,3.5
8,0,3.6
8,100,3.9
8,200,4
8,300,3.3
8,400,3.7
8,500,3.4
8,600,3
8,700,2.7
8,800,2.7
