지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),이슬점온도(°C),지면온도(°C)
129,서산,2017-01-01 00:00,.5,,.6,200,99,.3,3
129,서산,2017-01-01 01:00,.6,,.5,320,99,.4,2.7
129,서산,2017-01-01 02:00,0,,.6,360,99,-.1,3.1
129,서산,2017-01-01 03:00,1.2,,.3,0,99,1,2.5
129,서산,2017-01-01 04:00,.1,,1,20,99,0,3
129,서산,2017-01-01 05:00,.6,,.1,0,99,.4,3
129,서산,2017-01-01 06:00,-.3,,.3,0,99,-.4,2.5
129,서산,2017-01-01 07:00,-.7,,0,0,99,-.8,3
129,서산,2017-01-01 08:00,-1,,.3,0,99,-1.1,2.3
129,서산,2017-01-01 09:00,.3,,.4,0,99,.1,2.9
129,서산,2017-01-01 10:00,2.3,,.1,0,99,2.1,4.2
129,서산,2017-01-01 11:00,4.3,,.5,290,99,4.1,6.5
129,서산,2017-01-01 12:00,6.7,,2.3,230,93,5.6,8.5
129,서산,2017-01-01 13:00,8.8,,2.5,180,82,5.8,9.9
129,서산,2017-01-01 14:00,9.2,,3,200,77,5.3,10.7
129,서산,2017-01-01 15:00,9.4,,2.9,200,78,5.7,10.5
129,서산,2017-01-01 16:00,8.2,,2.5,200,80,4.9,9
129,서산,2017-01-01 17:00,7.4,,1.7,180,84,4.8,7.7
129,서산,2017-01-01 18:00,4.7,,.9,200,98,4.4,6.2
129,서산,2017-01-01 19:00,3.2,,.2,0,99,3,5.3
129,서산,2017-01-01 20:00,2.1,,.3,0,99,1.9,4.9
129,서산,2017-01-01 21:00,2.4,,.3,0,99,2.2,5.2
129,서산,2017-01-01 22:00,2.4,,.4,0,99,2.2,5.4
129,서산,2017-01-01 23:00,3.4,,1,70,99,3.2,5.7
129,서산,2017-01-02 00:00,3.3,,.9,340,99,3.1,5.7
129,서산,2017-01-02 01:00,1.3,,.2,0,99,1.1,4.5
129,서산,2017-01-02 02:00,1.1,,.5,140,99,.9,3.4
129,서산,2017-01-02 03:00,2.3,,.2,0,99,2.1,4.5
129,서산,2017-01-02 04:00,2.6,,.1,0,99,2.4,5.1
129,서산,2017-01-02 05:00,2.3,,.1,0,99,2.1,5.1
129,서산,2017-01-02 06:00,3.2,0,1,200,99,3,5.4
129,서산,2017-01-02 07:00,3.5,,1,160,99,3.3,5.7
129,서산,2017-01-02 08:00,3.8,,1.4,180,99,3.6,5.4
129,서산,2017-01-02 09:00,4.5,.4,1.2,160,99,4.3,6.2
129,서산,2017-01-02 10:00,6.5,,3,180,99,6.3,7.8
129,서산,2017-01-02 11:00,7.6,,2.5,200,94,6.6,9.5
129,서산,2017-01-02 12:00,9.1,,2.4,200,94,8.1,9.5
129,서산,2017-01-02 13:00,10.7,,3.9,270,87,8.6,11
129,서산,2017-01-02 14:00,10.4,,3.6,270,74,5.9,11.7
129,서산,2017-01-02 15:00,10.5,,3.6,270,72,5.6,11.3
129,서산,2017-01-02 16:00,8.8,,3.5,290,80,5.5,9.4
129,서산,2017-01-02 17:00,7.3,,1.7,320,86,5.1,8.4
129,서산,2017-01-02 18:00,5.7,,.5,250,95,4.9,7
129,서산,2017-01-02 19:00,6.1,,1.8,270,96,5.5,6.7
129,서산,2017-01-02 20:00,5.8,,3.2,290,94,4.9,6.6
129,서산,2017-01-02 21:00,4.6,,3.3,290,93,3.5,5.8
129,서산,2017-01-02 22:00,2.4,,.6,180,99,2.2,4.9
129,서산,2017-01-02 23:00,2.3,,.7,230,99,2.1,4.1
129,서산,2017-01-03 00:00,2.3,,1.1,320,99,2.1,3.6
129,서산,2017-01-03 01:00,2.3,,1.3,320,99,2.1,3.7
129,서산,2017-01-03 02:00,2.2,,1.7,20,82,-.5,2.8
129,서산,2017-01-03 03:00,.2,,.4,0,88,-1.5,2.8
129,서산,2017-01-03 04:00,-1,,.6,90,99,-1.1,2.6
129,서산,2017-01-03 05:00,-1.4,,.2,0,99,-1.5,1.9
129,서산,2017-01-03 06:00,-2.6,,.2,0,99,-2.7,2.5
129,서산,2017-01-03 07:00,-2.5,,.2,0,99,-2.6,1.5
129,서산,2017-01-03 08:00,-3.1,,.4,0,99,-3.2,1.1
129,서산,2017-01-03 09:00,-1.5,,.5,50,99,-1.6,2
129,서산,2017-01-03 10:00,1.5,,.3,0,99,1.3,2.2
129,서산,2017-01-03 11:00,4.4,,2.3,200,83,1.7,2.9
129,서산,2017-01-03 12:00,6,,2.5,200,75,1.8,5.8
129,서산,2017-01-03 13:00,7.2,,3.7,230,69,1.8,8.1
129,서산,2017-01-03 14:00,7.8,,3.3,200,73,3.2,10.2
129,서산,2017-01-03 15:00,7.8,,3.2,200,66,1.8,9.9
129,서산,2017-01-03 16:00,7.4,,3.4,230,67,1.6,7.5
129,서산,2017-01-03 17:00,6.1,,2.9,230,74,1.8,6.3
129,서산,2017-01-03 18:00,3.9,,1.3,180,83,1.2,5.1
129,서산,2017-01-03 19:00,2.7,,1.3,200,88,.9,4.2
129,서산,2017-01-03 20:00,2.4,,1.6,180,93,1.3,2.8
