지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),이슬점온도(°C),지면온도(°C)
129,서산,2016-04-01 00:00,8.8,,1.5,50,41,-3.7,4
129,서산,2016-04-01 01:00,9.2,,1.2,50,34,-5.8,3.4
129,서산,2016-04-01 02:00,9.2,,1.1,20,33,-6.2,3.3
129,서산,2016-04-01 03:00,7.5,,.4,0,40,-5.2,2.8
129,서산,2016-04-01 04:00,4.8,,.6,110,56,-3.2,1.8
129,서산,2016-04-01 05:00,3.6,,.2,0,61,-3.2,1.3
129,서산,2016-04-01 06:00,3.7,,.4,0,66,-2,1
129,서산,2016-04-01 07:00,3.7,,.2,0,68,-1.6,2.2
129,서산,2016-04-01 08:00,8.2,,.5,320,64,1.7,9.6
129,서산,2016-04-01 09:00,12.9,,.7,290,41,0,23.6
129,서산,2016-04-01 10:00,16,,1.6,230,27,-3,32.6
129,서산,2016-04-01 11:00,18.4,,1.5,250,26,-1.4,42
129,서산,2016-04-01 12:00,20.5,,2.4,200,24,-.7,42.7
129,서산,2016-04-01 13:00,21.4,,3,250,24,0,45.6
129,서산,2016-04-01 14:00,22.3,,4.1,250,26,1.8,43.3
129,서산,2016-04-01 15:00,21.3,,3.6,270,23,-.6,38.4
129,서산,2016-04-01 16:00,20.8,,3.9,230,22,-1.7,28
129,서산,2016-04-01 17:00,19.5,,3.4,200,28,.4,25.4
129,서산,2016-04-01 18:00,16.9,,2.4,180,35,1.3,16.8
129,서산,2016-04-01 19:00,13.9,,1.4,180,48,3,11.3
129,서산,2016-04-01 20:00,10.7,,1.1,160,60,3.2,7.8
129,서산,2016-04-01 21:00,9.1,,.1,0,65,2.8,6.6
129,서산,2016-04-01 22:00,8.6,,.4,0,67,2.8,5.4
129,서산,2016-04-01 23:00,6.9,,.4,0,79,3.5,4.9
129,서산,2016-04-02 00:00,6.7,,1,90,81,3.6,4.3
129,서산,2016-04-02 01:00,5.3,,.1,0,83,2.6,3.8
129,서산,2016-04-02 02:00,5.6,,0,0,83,2.9,3.5
129,서산,2016-04-02 03:00,5.4,,1,90,87,3.4,3.3
129,서산,2016-04-02 04:00,5.3,,.5,50,91,3.9,3.5
129,서산,2016-04-02 05:00,3.9,,1.4,70,91,2.5,3.2
129,서산,2016-04-02 06:00,5,,.9,20,91,3.6,2.8
129,서산,2016-04-02 07:00,5,,1,70,87,3,4.5
129,서산,2016-04-02 08:00,10,,.8,50,69,4.5,11.3
129,서산,2016-04-02 09:00,12.4,,.9,320,61,5,19.9
129,서산,2016-04-02 10:00,17.2,,1.7,200,42,4.1,30.7
129,서산,2016-04-02 11:00,18.5,,4.7,200,36,3.1,32.5
