 format: day,hour,forecast,value  location:51_109 Start : 20160301 
3,200,46,3.9
3,200,49,2.9
3,200,52,5.6
3,200,55,3.7
3,200,58,3.7
3,200,61,1.8
3,500,4,5.7
3,500,7,4.9
3,500,10,3.6
3,500,13,2.9
3,500,16,2.9
3,500,19,2.9
3,500,22,4
3,500,25,5.7
3,500,28,3.8
3,500,31,4.6
3,500,34,2.7
3,500,37,3.7
3,500,40,3.7
3,500,43,3.9
3,500,46,2.9
3,500,49,5.6
3,500,52,3.7
3,500,55,3.7
3,500,58,1.8
3,800,4,5
3,800,7,3.6
3,800,10,2.9
3,800,13,2.9
3,800,16,2.9
3,800,19,4.1
3,800,22,5.8
3,800,25,3.8
3,800,28,4.6
3,800,31,2.7
3,800,34,3.7
3,800,37,3.7
3,800,40,4
3,800,43,2.9
3,800,46,5.7
3,800,49,3.7
3,800,52,3.7
3,800,55,1.8
3,1100,4,3.6
3,1100,7,2.9
3,1100,10,2.9
3,1100,13,2.9
3,1100,16,4.1
3,1100,19,5.8
3,1100,22,3.8
3,1100,25,4.6
3,1100,28,2.7
3,1100,31,3.7
3,1100,34,3.7
3,1100,37,4
3,1100,40,2.9
3,1100,43,5.7
3,1100,46,3.7
3,1100,49,3.7
3,1100,52,1.8
3,1400,4,2.9
3,1400,7,2.9
3,1400,10,2.9
3,1400,13,4.1
3,1400,16,5.8
3,1400,19,3.8
3,1400,22,4.6
3,1400,25,2.7
3,1400,28,3.7
3,1400,31,3.7
3,1400,34,4
3,1400,37,2.9
3,1400,40,5.7
3,1400,43,3.7
3,1400,46,3.7
3,1400,49,1.8
3,1700,4,2.9
3,1700,7,2.9
3,1700,10,4.1
3,1700,13,5.8
3,1700,16,3.8
3,1700,19,4.6
3,1700,22,2.7
3,1700,25,3.7
3,1700,28,3.7
3,1700,31,4
3,1700,34,2.9
3,1700,37,5.7
3,1700,40,3.7
3,1700,43,3.7
3,1700,46,1.8
3,2000,4,2.9
3,2000,7,4.1
3,2000,10,5.8
3,2000,13,3.8
3,2000,16,4.6
3,2000,19,2.7
3,2000,22,3.7
3,2000,25,3.7
3,2000,28,4
3,2000,31,2.9
3,2000,34,5.6
3,2000,37,3.7
3,2000,40,3.7
3,2000,43,1.8
3,2000,46,2
3,2000,49,0.7
3,2000,52,1.9
3,2000,55,4.3
3,2000,58,5.5
3,2000,61,3.9
3,2000,64,2.9
3,2000,67,2
3,2300,4,4.1
3,2300,7,5.8
3,2300,10,3.8
3,2300,13,4.6
3,2300,16,2.7
3,2300,19,3.7
3,2300,22,3.7
3,2300,25,4
3,2300,28,2.9
3,2300,31,5.6
3,2300,34,3.7
3,2300,37,3.7
3,2300,40,1.8
3,2300,43,2
3,2300,46,0.7
3,2300,49,1.9
3,2300,52,4.3
3,2300,55,5.5
3,2300,58,3.9
3,2300,61,2.9
3,2300,64,2
4,200,4,4.9
4,200,7,3.5
4,200,10,3.4
4,200,13,2
4,200,16,3
4,200,19,3.1
4,200,22,3.8
4,200,25,2.8
4,200,28,4.4
4,200,31,2.7
4,200,34,2.8
4,200,37,1.4
4,200,40,1.8
4,200,43,0.3
4,200,46,1.3
4,200,49,2.6
4,200,52,4.1
4,200,55,3.4
4,200,58,2.4
4,200,61,1.9
4,500,4,3.5
4,500,7,3.4
4,500,10,2
4,500,13,3
4,500,16,3.1
4,500,19,3.8
4,500,22,2.8
4,500,25,4.4
4,500,28,2.7
4,500,31,2.8
4,500,34,1.4
4,500,37,1.8
4,500,40,0.3
4,500,43,1.3
4,500,46,2.6
4,500,49,4.1
4,500,52,3.4
4,500,55,2.4
4,500,58,1.9
4,800,4,3.4
4,800,7,2
4,800,10,3
4,800,13,3.1
4,800,16,3.8
4,800,19,2.8
4,800,22,4.4
4,800,25,2.7
4,800,28,2.8
4,800,31,1.4
4,800,34,1.8
4,800,37,0.3
4,800,40,1.3
4,800,43,2.6
4,800,46,4.1
4,800,49,3.4
4,800,52,2.4
4,800,55,1.9
4,1100,4,2
4,1100,7,3
4,1100,10,3.1
4,1100,13,3.8
4,1100,16,2.8
4,1100,19,4.4
4,1100,22,2.7
4,1100,25,2.8
4,1100,28,1.4
4,1100,31,1.8
4,1100,34,0.3
4,1100,37,1.3
4,1100,40,2.6
4,1100,43,4.1
4,1100,46,3.4
4,1100,49,2.4
4,1100,52,1.9
4,1400,4,3.7
4,1400,7,3.7
4,1400,10,4
4,1400,13,2.9
4,1400,16,5.6
4,1400,19,3.7
4,1400,22,3.7
4,1400,25,1.8
4,1400,28,2
4,1400,31,0.7
4,1400,34,1.9
4,1400,37,4.3
4,1400,40,5.5
4,1400,43,3.9
4,1400,46,2.9
4,1400,49,2
4,1700,4,3.7
4,1700,7,4
4,1700,10,2.9
4,1700,13,5.6
4,1700,16,3.7
4,1700,19,3.7
4,1700,22,1.8
4,1700,25,2
4,1700,28,0.7
4,1700,31,1.9
4,1700,34,4.3
4,1700,37,5.5
4,1700,40,3.9
4,1700,43,2.9
4,1700,46,2
4,2000,4,4
4,2000,7,2.9
4,2000,10,5.6
4,2000,13,3.7
4,2000,16,3.7
4,2000,19,1.8
4,2000,22,2
4,2000,25,0.7
4,2000,28,1.9
4,2000,31,4.4
4,2000,34,5.5
4,2000,37,3.9
4,2000,40,2.9
4,2000,43,1.9
4,2000,46,1
4,2000,49,1
4,2000,52,1.8
4,2000,55,2.8
4,2000,58,3
4,2000,61,2
4,2000,64,1
4,2000,67,1
4,2300,4,2.9
4,2300,7,5.6
4,2300,10,3.7
4,2300,13,3.7
4,2300,16,1.8
4,2300,19,2
4,2300,22,0.7
4,2300,25,1.9
4,2300,28,4.4
4,2300,31,5.5
4,2300,34,3.9
4,2300,37,2.9
4,2300,40,1.9
4,2300,43,1
4,2300,46,1
4,2300,49,1.8
4,2300,52,2.8
4,2300,55,3
4,2300,58,2
4,2300,61,1
4,2300,64,1
5,200,4,4.4
5,200,7,2.7
5,200,10,2.8
5,200,13,1.5
5,200,16,1.8
5,200,19,0.3
5,200,22,1.3
5,200,25,2.7
5,200,28,4.1
5,200,31,3.3
5,200,34,2.4
5,200,37,1.5
5,200,40,1
5,200,43,1
5,200,46,1.5
5,200,49,2.5
5,200,52,2.9
5,200,55,1.9
5,200,58,1
