 format: day,hour,forecast,value  location:52_110 Start : 20160301 
1,200,4,2
1,200,7,0
1,200,10,-1
1,200,13,-1
1,200,16,-1
1,200,19,-1
1,200,22,4
1,200,25,8
1,200,28,9
1,200,31,6
1,200,34,5
1,200,37,4
1,200,40,4
1,200,43,3
1,200,46,5
1,200,49,10
1,200,52,11
1,200,55,10
1,200,58,7
1,200,61,6
1,500,4,0
1,500,7,-1
1,500,10,-1
1,500,13,-1
1,500,16,-1
1,500,19,4
1,500,22,8
1,500,25,9
1,500,28,6
1,500,31,5
1,500,34,4
1,500,37,4
1,500,40,3
1,500,43,5
1,500,46,10
1,500,49,11
1,500,52,10
1,500,55,7
1,500,58,6
1,800,4,-1
1,800,7,-1
1,800,10,-1
1,800,13,-1
1,800,16,4
1,800,19,8
1,800,22,9
1,800,25,6
1,800,28,5
1,800,31,4
1,800,34,4
1,800,37,3
1,800,40,5
1,800,43,10
1,800,46,12
1,800,49,10
1,800,52,7
1,800,55,6
1,1100,4,-1
1,1100,7,-1
1,1100,10,-1
1,1100,13,4
1,1100,16,8
1,1100,19,9
1,1100,22,6
1,1100,25,5
1,1100,28,4
1,1100,31,4
1,1100,34,3
1,1100,37,5
1,1100,40,10
1,1100,43,12
1,1100,46,10
1,1100,49,7
1,1100,52,6
1,1400,4,-2
1,1400,7,-1
1,1400,10,4
1,1400,13,8
1,1400,16,9
1,1400,19,6
1,1400,22,5
1,1400,25,4
1,1400,28,4
1,1400,31,3
1,1400,34,5
1,1400,37,10
1,1400,40,12
1,1400,43,10
1,1400,46,7
1,1400,49,6
1,1700,4,-1
1,1700,7,4
1,1700,10,8
1,1700,13,9
1,1700,16,6
1,1700,19,5
1,1700,22,4
1,1700,25,4
1,1700,28,3
1,1700,31,5
1,1700,34,10
1,1700,37,12
1,1700,40,10
1,1700,43,7
1,1700,46,6
1,2000,4,1
1,2000,7,6
1,2000,10,8
1,2000,13,7
1,2000,16,5
1,2000,19,4
1,2000,22,3
1,2000,25,3
1,2000,28,6
1,2000,31,10
1,2000,34,11
1,2000,37,10
1,2000,40,9
1,2000,43,8
1,2000,46,8
1,2000,49,8
1,2000,52,12
1,2000,55,14
1,2000,58,15
1,2000,61,14
