 format: day,hour,forecast,value  location:51_109 Start : 20160301 
3,200,46,12.7
3,200,49,16
3,200,52,14
3,200,55,12
3,200,58,10.1
3,200,61,8
3,500,4,10.1
3,500,7,9
3,500,10,8.1
3,500,13,8.3
3,500,16,8.2
3,500,19,11.9
3,500,22,14.1
3,500,25,15.1
3,500,28,14.1
3,500,31,13.1
3,500,34,12
3,500,37,12
3,500,40,11.8
3,500,43,12.7
3,500,46,16
3,500,49,14
3,500,52,12
3,500,55,10.1
3,500,58,8
3,800,4,8.9
3,800,7,8.2
3,800,10,8.2
3,800,13,8.2
3,800,16,11.9
3,800,19,14.1
3,800,22,15.1
3,800,25,14.1
3,800,28,13.1
3,800,31,12
3,800,34,12
3,800,37,11.8
3,800,40,12.7
3,800,43,16
3,800,46,14
3,800,49,12
3,800,52,8.2
3,800,55,6.2
3,1100,4,8.2
3,1100,7,8.2
3,1100,10,8.1
3,1100,13,11.9
3,1100,16,14.1
3,1100,19,15.1
3,1100,22,14.1
3,1100,25,13.1
3,1100,28,12
3,1100,31,12
3,1100,34,11.8
3,1100,37,12.7
3,1100,40,16
3,1100,43,14
3,1100,46,12
3,1100,49,8.2
3,1100,52,6.2
3,1400,4,8.1
3,1400,7,8.1
3,1400,10,11.9
3,1400,13,14.1
3,1400,16,15.1
3,1400,19,14.1
3,1400,22,13.1
3,1400,25,12
3,1400,28,12
3,1400,31,11.8
3,1400,34,12.7
3,1400,37,16
3,1400,40,14
3,1400,43,12
3,1400,46,8.2
3,1400,49,6.2
3,1700,4,8.1
3,1700,7,11.9
3,1700,10,14.1
3,1700,13,15.1
3,1700,16,14.1
3,1700,19,13.1
3,1700,22,12
3,1700,25,12
3,1700,28,11.8
3,1700,31,12.7
3,1700,34,16
3,1700,37,14
3,1700,40,12
3,1700,43,8.2
3,1700,46,6.2
3,2000,4,12
3,2000,7,14
3,2000,10,15.1
3,2000,13,14.1
3,2000,16,13.1
3,2000,19,12.1
3,2000,22,12
3,2000,25,11.8
3,2000,28,12.7
3,2000,31,15.8
3,2000,34,13.9
3,2000,37,11.9
3,2000,40,8.1
3,2000,43,6.2
3,2000,46,4.1
3,2000,49,2.2
3,2000,52,3.3
3,2000,55,9.1
3,2000,58,11.1
3,2000,61,8.5
3,2000,64,6.5
3,2000,67,4.6
3,2300,4,14
3,2300,7,15.1
3,2300,10,14.1
3,2300,13,13.1
3,2300,16,12.1
3,2300,19,12
3,2300,22,11.8
3,2300,25,12.7
3,2300,28,15.8
3,2300,31,13.9
3,2300,34,11.9
3,2300,37,8.1
3,2300,40,6.2
3,2300,43,4.1
3,2300,46,2.2
3,2300,49,3.3
3,2300,52,9.1
3,2300,55,11.1
3,2300,58,8.5
3,2300,61,6.5
3,2300,64,4.6
4,200,4,16.1
4,200,7,14.1
4,200,10,13.1
4,200,13,11.8
4,200,16,11.7
4,200,19,11.3
4,200,22,12.4
4,200,25,15.7
4,200,28,14
4,200,31,11.8
4,200,34,8.2
4,200,37,6.2
4,200,40,4.3
4,200,43,2.8
4,200,46,4.2
4,200,49,9
4,200,52,11
4,200,55,8.7
4,200,58,6.6
4,200,61,5.2
4,500,4,14.1
4,500,7,13.1
4,500,10,11.8
4,500,13,11.7
4,500,16,11.3
4,500,19,12.4
4,500,22,15.7
4,500,25,14
4,500,28,11.8
4,500,31,8.2
4,500,34,6.2
4,500,37,4.3
4,500,40,2.8
4,500,43,4.2
4,500,46,9
4,500,49,11
4,500,52,8.7
4,500,55,6.6
4,500,58,5.2
4,800,4,13.7
4,800,7,12.3
4,800,10,11.8
4,800,13,10.9
4,800,16,12.8
4,800,19,16.1
4,800,22,14
4,800,25,11.7
4,800,28,8.3
4,800,31,6.1
4,800,34,4.8
4,800,37,3.9
4,800,40,5.2
4,800,43,9.2
4,800,46,11.3
4,800,49,8.8
4,800,52,6.5
4,800,55,5.1
4,1100,4,12.7
4,1100,7,11.8
4,1100,10,10.9
4,1100,13,12.8
4,1100,16,16.1
4,1100,19,14
4,1100,22,11.7
4,1100,25,8.3
4,1100,28,6.1
4,1100,31,4.8
4,1100,34,3.9
4,1100,37,5.2
4,1100,40,9.2
4,1100,43,11.3
4,1100,46,8.8
4,1100,49,6.5
4,1100,52,5.1
4,1400,4,12
4,1400,7,11
4,1400,10,12.9
4,1400,13,15.9
4,1400,16,13.9
4,1400,19,11.9
4,1400,22,8.1
4,1400,25,6.1
4,1400,28,5
4,1400,31,4.1
4,1400,34,5.1
4,1400,37,9.3
4,1400,40,11.4
4,1400,43,8.4
4,1400,46,6.2
4,1400,49,4.5
4,1700,4,11
4,1700,7,12.9
4,1700,10,15.9
4,1700,13,13.9
4,1700,16,11.9
4,1700,19,8.1
4,1700,22,6.1
4,1700,25,5
4,1700,28,4.1
4,1700,31,5.1
4,1700,34,9.3
4,1700,37,11.4
4,1700,40,8.4
4,1700,43,6.2
4,1700,46,4.5
4,2000,4,12.9
4,2000,7,16
4,2000,10,13.9
4,2000,13,12
4,2000,16,8
4,2000,19,6.1
4,2000,22,5
4,2000,25,4.9
4,2000,28,6.9
4,2000,31,11.2
4,2000,34,12.3
4,2000,37,8.5
4,2000,40,6.4
4,2000,43,5.4
4,2000,46,4.4
4,2000,49,3.5
4,2000,52,8.6
4,2000,55,13.1
4,2000,58,12.9
4,2000,61,10
4,2000,64,8.1
4,2000,67,6.2
4,2300,4,16
4,2300,7,13.9
4,2300,10,12
4,2300,13,8
4,2300,16,6.1
4,2300,19,5
4,2300,22,4.9
4,2300,25,6.9
4,2300,28,11.2
4,2300,31,12.3
4,2300,34,8.5
4,2300,37,6.4
4,2300,40,5.4
4,2300,43,4.4
4,2300,46,3.5
4,2300,49,8.6
4,2300,52,13.1
4,2300,55,12.9
4,2300,58,10
4,2300,61,8.1
4,2300,64,6.2
5,200,4,14.1
5,200,7,11.8
5,200,10,8.2
5,200,13,6.1
5,200,16,4.9
5,200,19,4.7
5,200,22,6.3
5,200,25,10.4
5,200,28,11.8
5,200,31,8.6
5,200,34,6.6
5,200,37,5.6
5,200,40,4.7
5,200,43,4.2
5,200,46,9
5,200,49,13.4
5,200,52,13.3
5,200,55,10
5,200,58,8.1
5,200,61,6.5
5,500,4,11.8
5,500,7,8.2
5,500,10,6.1
5,500,13,4.9
5,500,16,4.7
5,500,19,6.3
5,500,22,10.4
5,500,25,11.8
5,500,28,8.6
5,500,31,6.6
5,500,34,5.6
5,500,37,4.7
5,500,40,4.2
5,500,43,9
5,500,46,13.4
5,500,49,13.3
5,500,52,10
5,500,55,8.1
5,500,58,6.5
5,800,4,8.3
5,800,7,6.2
5,800,10,4.8
5,800,13,4.7
5,800,16,6.3
5,800,19,10.3
5,800,22,12.7
5,800,25,8.7
5,800,28,6.6
5,800,31,5.7
5,800,34,4.2
5,800,37,4.2
5,800,40,8.9
5,800,43,13.1
5,800,46,14.2
5,800,49,10
5,800,52,8.1
5,800,55,6.7
5,1100,4,6.2
5,1100,7,4.8
5,1100,10,4.7
5,1100,13,6.3
5,1100,16,10.3
5,1100,19,12.7
5,1100,22,8.7
5,1100,25,6.6
5,1100,28,5.7
5,1100,31,4.2
5,1100,34,4.2
5,1100,37,8.9
5,1100,40,13.1
5,1100,43,14.2
5,1100,46,10
5,1100,49,8.1
5,1100,52,6.7
5,1400,4,4.9
5,1400,7,5
5,1400,10,7
5,1400,13,11.1
5,1400,16,13.3
5,1400,19,8.5
5,1400,22,6.4
5,1400,25,5.3
5,1400,28,3.4
5,1400,31,3.4
5,1400,34,8.5
5,1400,37,12.9
5,1400,40,14
5,1400,43,10
5,1400,46,8
5,1400,49,6.3
5,1700,4,5
5,1700,7,7
5,1700,10,11.1
5,1700,13,13.3
5,1700,16,8.5
5,1700,19,6.4
5,1700,22,5.3
5,1700,25,3.4
5,1700,28,3.4
5,1700,31,8.5
5,1700,34,12.9
5,1700,37,14
5,1700,40,10
5,1700,43,8
5,1700,46,6.3
5,2000,4,7
5,2000,7,11.1
5,2000,10,13.3
5,2000,13,8.5
5,2000,16,6.3
5,2000,19,5.4
5,2000,22,3.5
5,2000,25,3.5
5,2000,28,8.5
5,2000,31,13.1
5,2000,34,14
5,2000,37,10
5,2000,40,8.1
5,2000,43,6
5,2000,46,5.1
5,2000,49,4.1
5,2000,52,7.1
5,2000,55,10.4
5,2000,58,8.2
5,2000,61,6.2
5,2000,64,4.1
5,2000,67,3.1
5,2300,4,11.1
5,2300,7,13.3
5,2300,10,8.5
5,2300,13,6.3
5,2300,16,5.4
5,2300,19,3.5
5,2300,22,3.5
5,2300,25,8.5
5,2300,28,13.1
5,2300,31,14
5,2300,34,10
5,2300,37,8.1
5,2300,40,6
5,2300,43,5.1
5,2300,46,4.1
5,2300,49,7.1
5,2300,52,10.4
5,2300,55,8.2
5,2300,58,6.2
5,2300,61,4.1
5,2300,64,3.1
6,200,4,13.3
6,200,7,8.5
6,200,10,6.3
6,200,13,5.4
6,200,16,3.5
6,200,19,3.5
6,200,22,8.5
6,200,25,13.1
6,200,28,14
6,200,31,10
6,200,34,8.1
6,200,37,6
6,200,40,5.1
6,200,43,4.1
6,200,46,7.1
6,200,49,10.4
6,200,52,8.2
6,200,55,5.4
6,200,58,3.2
6,200,61,1.4
6,500,4,8.5
6,500,7,6.3
6,500,10,5.4
6,500,13,3.5
6,500,16,3.5
6,500,19,8.5
6,500,22,13.1
6,500,25,14
6,500,28,10
6,500,31,8.1
6,500,34,6
6,500,37,5.1
6,500,40,4.1
6,500,43,7.1
6,500,46,10.4
6,500,49,8.2
6,500,52,5.4
6,500,55,3.2
6,500,58,1.4
6,800,4,6.3
6,800,7,4.3
6,800,10,3.3
6,800,13,3.3
6,800,16,8.5
6,800,19,13.1
6,800,22,13.6
6,800,25,10
6,800,28,8
6,800,31,5.9
6,800,34,5
6,800,37,4.1
6,800,40,7
6,800,43,10.5
6,800,46,8.3
6,800,49,5.3
6,800,52,3.2
6,800,55,1.3
6,1100,4,4.2
6,1100,7,3.3
6,1100,10,3.3
6,1100,13,8.5
6,1100,16,13.1
6,1100,19,13.6
6,1100,22,10
6,1100,25,8
6,1100,28,5.9
6,1100,31,5
6,1100,34,4.1
6,1100,37,7
6,1100,40,10.5
6,1100,43,8.3
6,1100,46,5.3
6,1100,49,3.2
6,1100,52,1.3
6,1400,4,4.2
6,1400,7,3.8
6,1400,10,8.6
6,1400,13,13.2
6,1400,16,13
6,1400,19,10.1
6,1400,22,8.1
6,1400,25,6.1
6,1400,28,5.1
6,1400,31,4.2
6,1400,34,6.7
6,1400,37,10.3
6,1400,40,8.3
6,1400,43,5.7
6,1400,46,3.7
6,1400,49,1.7
6,1700,4,3.9
6,1700,7,8.6
6,1700,10,13.2
6,1700,13,13
6,1700,16,10.1
6,1700,19,8.1
6,1700,22,6.1
6,1700,25,5.1
6,1700,28,4.2
6,1700,31,6.7
6,1700,34,10.3
6,1700,37,8.3
6,1700,40,5.7
6,1700,43,3.7
6,1700,46,1.7
6,2000,4,8.3
6,2000,7,12.5
6,2000,10,13.9
6,2000,13,10.1
6,2000,16,8.2
6,2000,19,6.2
6,2000,22,5.2
6,2000,25,5.3
6,2000,28,6.6
6,2000,31,8.5
6,2000,34,9.4
6,2000,37,6.2
6,2000,40,4.2
6,2000,43,1
6,2000,46,0.2
6,2000,49,0.2
6,2000,52,2.3
6,2000,55,4.2
6,2000,58,5.2
6,2000,61,4.2
6,2000,64,1.1
6,2000,67,-0.7
6,2300,4,12.5
6,2300,7,13.9
6,2300,10,10.1
6,2300,13,8.2
6,2300,16,6.2
6,2300,19,5.2
6,2300,22,5.3
6,2300,25,6.6
6,2300,28,8.5
6,2300,31,9.4
6,2300,34,6.2
6,2300,37,4.2
6,2300,40,1
6,2300,43,0.2
6,2300,46,0.2
6,2300,49,2.3
6,2300,52,4.2
6,2300,55,5.2
6,2300,58,4.2
6,2300,61,1.1
6,2300,64,-0.7
7,200,4,13.8
7,200,7,9.8
7,200,10,8.1
7,200,13,6.2
7,200,16,5.1
7,200,19,5.2
7,200,22,6.3
7,200,25,8.3
7,200,28,9.2
7,200,31,6.2
7,200,34,4.1
7,200,37,1.1
7,200,40,0.1
7,200,43,0.1
7,200,46,2.2
7,200,49,4.2
7,200,52,5.2
7,200,55,4.2
7,200,58,1.1
7,200,61,-0.8
7,500,4,9.9
7,500,7,8.1
7,500,10,6.2
7,500,13,5.1
7,500,16,5.2
7,500,19,6.3
7,500,22,8.3
7,500,25,9.2
7,500,28,6.2
7,500,31,4.1
7,500,34,1.1
7,500,37,0.1
7,500,40,0.1
7,500,43,2.2
7,500,46,4.2
7,500,49,5.2
7,500,52,4.2
7,500,55,1.1
7,500,58,-0.8
7,800,4,7
7,800,7,6.1
7,800,10,5.1
7,800,13,5.1
7,800,16,6.2
7,800,19,8.2
7,800,22,9.1
7,800,25,6
7,800,28,4
7,800,31,1.1
7,800,34,0.1
7,800,37,0.1
7,800,40,2.2
7,800,43,4.3
7,800,46,5.2
7,800,49,4.2
7,800,52,1.1
7,800,55,-0.9
7,1100,4,5.1
7,1100,7,5.1
7,1100,10,5.1
7,1100,13,6.2
7,1100,16,8.2
7,1100,19,9.1
7,1100,22,6
7,1100,25,4
7,1100,28,1.1
7,1100,31,0.1
7,1100,34,0.1
7,1100,37,2.2
7,1100,40,4.3
7,1100,43,5.2
7,1100,46,4.2
7,1100,49,1.1
7,1100,52,-0.9
7,1400,4,3.6
7,1400,7,3.6
7,1400,10,6.2
7,1400,13,8.1
7,1400,16,8.8
7,1400,19,5.8
7,1400,22,3.7
7,1400,25,1
7,1400,28,0.2
7,1400,31,0.2
7,1400,34,2.3
7,1400,37,4.3
7,1400,40,5.1
7,1400,43,4.2
7,1400,46,1.2
7,1400,49,-0.8
7,1700,4,3.6
7,1700,7,6.2
7,1700,10,8.1
7,1700,13,8.8
7,1700,16,5.8
7,1700,19,3.7
7,1700,22,1
7,1700,25,0.2
7,1700,28,0.2
7,1700,31,2.3
7,1700,34,4.3
7,1700,37,5.1
7,1700,40,4.2
7,1700,43,1.2
7,1700,46,-0.8
7,2000,4,5.1
7,2000,7,6.1
7,2000,10,7.1
7,2000,13,6.2
7,2000,16,4.2
7,2000,19,1.2
7,2000,22,-0.9
7,2000,25,-0.7
7,2000,28,2.3
7,2000,31,4.1
7,2000,34,5.1
7,2000,37,2.1
7,2000,40,0.1
7,2000,43,-1.3
7,2000,46,-2.2
7,2000,49,-3.2
7,2000,52,-0.8
7,2000,55,1.1
7,2000,58,3.2
7,2000,61,1.1
7,2000,64,-1.9
7,2000,67,-3.8
7,2300,4,6.1
7,2300,7,7.1
7,2300,10,6.2
7,2300,13,4.2
7,2300,16,1.2
7,2300,19,-0.9
7,2300,22,-0.7
7,2300,25,2.3
7,2300,28,4.1
7,2300,31,5.1
7,2300,34,2.1
7,2300,37,0.1
7,2300,40,-1.3
7,2300,43,-2.2
7,2300,46,-3.2
7,2300,49,-0.8
7,2300,52,1.1
7,2300,55,3.2
7,2300,58,1.1
7,2300,61,-1.9
7,2300,64,-3.8
8,200,4,7.2
8,200,7,6.2
8,200,10,4.2
8,200,13,1.2
8,200,16,-0.9
8,200,19,-0.9
8,200,22,2.2
8,200,25,4.2
8,200,28,5.1
8,200,31,2.2
8,200,34,0.1
8,200,37,-1.8
8,200,40,-2.7
8,200,43,-3.7
8,200,46,-0.8
8,200,49,1.2
8,200,52,3.2
8,200,55,1.1
8,200,58,-1.8
8,200,61,-3.8
8,500,4,6.2
8,500,7,4.2
8,500,10,1.2
8,500,13,-0.9
8,500,16,-0.9
8,500,19,2.2
8,500,22,4.2
8,500,25,5.1
8,500,28,2.2
8,500,31,0.1
8,500,34,-1.8
8,500,37,-2.7
8,500,40,-3.7
8,500,43,-0.8
8,500,46,1.2
8,500,49,3.2
8,500,52,1.1
8,500,55,-1.8
8,500,58,-3.8
8,800,4,1.2
8,800,7,0.1
