 format: day,hour,forecast,value  location:51_109 Start : 20160301 
3,1400,7,81
3,1400,10,76
3,1400,13,66
3,1400,16,66
3,1400,19,76
3,1400,22,85
3,1400,25,90
3,1400,28,81
3,1400,31,80
3,1400,34,78
3,1400,37,79
3,1400,40,91
3,1400,43,87
3,1400,46,74
3,1400,49,80
3,1700,4,81
3,1700,7,76
3,1700,10,66
3,1700,13,66
3,1700,16,76
3,1700,19,85
3,1700,22,90
3,1700,25,81
3,1700,28,80
3,1700,31,78
3,1700,34,79
3,1700,37,91
3,1700,40,87
3,1700,43,74
3,1700,46,80
3,2000,4,76
3,2000,7,66
3,2000,10,66
3,2000,13,76
3,2000,16,85
3,2000,19,90
3,2000,22,81
3,2000,25,80
3,2000,28,78
3,2000,31,79
3,2000,34,91
3,2000,37,87
3,2000,40,74
3,2000,43,80
3,2000,46,91
3,2000,49,92
3,2000,52,92
3,2000,55,65
3,2000,58,53
3,2000,61,50
3,2000,64,73
3,2000,67,63
3,2300,4,66
3,2300,7,66
3,2300,10,76
3,2300,13,85
3,2300,16,90
3,2300,19,81
3,2300,22,80
3,2300,25,78
3,2300,28,79
3,2300,31,91
3,2300,34,87
3,2300,37,74
3,2300,40,80
3,2300,43,91
3,2300,46,92
3,2300,49,92
3,2300,52,65
3,2300,55,53
3,2300,58,50
3,2300,61,73
3,2300,64,63
4,200,4,66
4,200,7,75
4,200,10,85
4,200,13,90
4,200,16,85
4,200,19,80
4,200,22,80
4,200,25,80
4,200,28,85
4,200,31,90
4,200,34,95
4,200,37,95
4,200,40,90
4,200,43,90
4,200,46,85
4,200,49,70
4,200,52,58
4,200,55,55
4,200,58,70
4,200,61,75
4,500,4,75
4,500,7,85
4,500,10,90
4,500,13,85
4,500,16,80
4,500,19,80
4,500,22,80
4,500,25,85
4,500,28,90
4,500,31,95
4,500,34,95
4,500,37,90
4,500,40,90
4,500,43,85
4,500,46,70
4,500,49,58
4,500,52,55
4,500,55,70
4,500,58,75
4,800,4,85
4,800,7,90
4,800,10,85
4,800,13,80
4,800,16,80
4,800,19,80
4,800,22,85
4,800,25,90
4,800,28,95
4,800,31,95
4,800,34,90
4,800,37,90
4,800,40,85
4,800,43,70
4,800,46,58
4,800,49,55
4,800,52,70
4,800,55,75
4,1100,4,90
4,1100,7,85
4,1100,10,80
4,1100,13,80
4,1100,16,80
4,1100,19,85
4,1100,22,90
4,1100,25,95
4,1100,28,95
4,1100,31,90
4,1100,34,90
4,1100,37,85
4,1100,40,70
4,1100,43,58
4,1100,46,55
4,1100,49,70
4,1100,52,75
4,1400,4,85
4,1400,7,80
4,1400,10,80
4,1400,13,80
4,1400,16,85
4,1400,19,90
4,1400,22,95
4,1400,25,95
4,1400,28,90
4,1400,31,90
4,1400,34,85
4,1400,37,67
4,1400,40,52
4,1400,43,52
4,1400,46,70
4,1400,49,75
4,1700,4,80
4,1700,7,80
4,1700,10,80
4,1700,13,85
4,1700,16,90
4,1700,19,95
4,1700,22,95
4,1700,25,90
4,1700,28,90
4,1700,31,85
4,1700,34,67
4,1700,37,52
4,1700,40,52
4,1700,43,70
4,1700,46,75
4,2000,4,80
4,2000,7,80
4,2000,10,85
4,2000,13,90
4,2000,16,95
4,2000,19,95
4,2000,22,90
4,2000,25,90
4,2000,28,85
4,2000,31,67
4,2000,34,52
4,2000,37,51
4,2000,40,70
4,2000,43,75
4,2000,46,77
4,2000,49,78
4,2000,52,66
4,2000,55,53
4,2000,58,61
4,2000,61,76
4,2000,64,83
4,2000,67,90
4,2300,4,80
4,2300,7,85
4,2300,10,90
4,2300,13,95
4,2300,16,95
4,2300,19,90
4,2300,22,90
4,2300,25,85
4,2300,28,67
4,2300,31,52
4,2300,34,51
4,2300,37,70
4,2300,40,75
4,2300,43,77
4,2300,46,78
4,2300,49,66
4,2300,52,53
4,2300,55,61
4,2300,58,76
4,2300,61,83
4,2300,64,90
5,200,4,85
5,200,7,90
5,200,10,95
5,200,13,95
5,200,16,90
5,200,19,90
5,200,22,85
5,200,25,71
5,200,28,58
5,200,31,55
5,200,34,70
5,200,37,75
5,200,40,79
5,200,43,79
5,200,46,72
5,200,49,59
5,200,52,65
5,200,55,77
5,200,58,85
5,200,61,90
5,500,4,90
5,500,7,95
5,500,10,95
5,500,13,90
5,500,16,90
5,500,19,85
5,500,22,71
5,500,25,58
5,500,28,55
5,500,31,70
5,500,34,75
5,500,37,79
5,500,40,79
5,500,43,72
5,500,46,59
5,500,49,65
5,500,52,77
5,500,55,85
5,500,58,90
5,800,4,95
5,800,7,95
5,800,10,90
5,800,13,90
5,800,16,85
5,800,19,71
5,800,22,58
5,800,25,55
5,800,28,70
5,800,31,75
5,800,34,79
5,800,37,79
5,800,40,72
5,800,43,59
5,800,46,65
5,800,49,77
5,800,52,85
5,800,55,90
5,1100,4,95
5,1100,7,90
5,1100,10,90
5,1100,13,85
5,1100,16,71
5,1100,19,58
5,1100,22,55
5,1100,25,70
5,1100,28,75
5,1100,31,79
5,1100,34,79
5,1100,37,72
5,1100,40,59
5,1100,43,65
5,1100,46,77
5,1100,49,85
5,1100,52,90
5,1400,4,90
5,1400,7,90
5,1400,10,85
5,1400,13,67
5,1400,16,52
5,1400,19,51
5,1400,22,70
5,1400,25,75
5,1400,28,80
5,1400,31,80
5,1400,34,67
5,1400,37,53
5,1400,40,62
5,1400,43,76
5,1400,46,85
5,1400,49,90
5,1700,4,90
5,1700,7,85
5,1700,10,67
5,1700,13,52
5,1700,16,51
5,1700,19,70
5,1700,22,75
5,1700,25,80
5,1700,28,80
5,1700,31,67
5,1700,34,53
5,1700,37,62
5,1700,40,76
5,1700,43,85
5,1700,46,90
5,2000,4,85
5,2000,7,67
5,2000,10,52
5,2000,13,51
5,2000,16,70
5,2000,19,75
5,2000,22,89
5,2000,25,89
5,2000,28,71
5,2000,31,57
5,2000,34,66
5,2000,37,76
5,2000,40,85
5,2000,43,95
5,2000,46,95
5,2000,49,93
5,2000,52,71
5,2000,55,47
5,2000,58,41
5,2000,61,45
5,2000,64,59
5,2000,67,76
5,2300,4,67
5,2300,7,52
5,2300,10,51
5,2300,13,70
5,2300,16,75
5,2300,19,89
5,2300,22,89
5,2300,25,71
5,2300,28,57
5,2300,31,66
5,2300,34,76
5,2300,37,85
5,2300,40,95
5,2300,43,95
5,2300,46,93
5,2300,49,71
5,2300,52,47
5,2300,55,41
5,2300,58,45
5,2300,61,59
5,2300,64,76
6,200,4,44
6,200,7,56
6,200,10,70
6,200,13,75
