 format: day,hour,forecast,value  location:52_110 Start : 20160301 
3,1400,7,80
3,1400,10,75
3,1400,13,65
3,1400,16,65
3,1400,19,75
3,1400,22,85
3,1400,25,90
3,1400,28,81
3,1400,31,80
3,1400,34,76
3,1400,37,79
3,1400,40,92
3,1400,43,87
3,1400,46,74
3,1400,49,80
3,1700,4,80
3,1700,7,75
3,1700,10,65
3,1700,13,65
3,1700,16,75
3,1700,19,85
3,1700,22,90
3,1700,25,81
3,1700,28,80
3,1700,31,76
3,1700,34,79
3,1700,37,92
3,1700,40,87
3,1700,43,74
3,1700,46,80
3,2000,4,75
3,2000,7,65
3,2000,10,65
3,2000,13,75
3,2000,16,85
3,2000,19,90
3,2000,22,81
3,2000,25,80
3,2000,28,76
3,2000,31,79
3,2000,34,92
3,2000,37,87
3,2000,40,74
3,2000,43,80
3,2000,46,91
3,2000,49,92
3,2000,52,91
3,2000,55,62
3,2000,58,49
3,2000,61,47
3,2000,64,73
3,2000,67,62
3,2300,4,65
3,2300,7,65
3,2300,10,75
3,2300,13,85
3,2300,16,90
3,2300,19,81
3,2300,22,80
3,2300,25,76
3,2300,28,79
3,2300,31,92
3,2300,34,87
3,2300,37,74
3,2300,40,80
3,2300,43,91
3,2300,46,92
3,2300,49,91
3,2300,52,62
3,2300,55,49
3,2300,58,47
3,2300,61,73
3,2300,64,62
4,200,4,65
4,200,7,75
4,200,10,85
4,200,13,90
4,200,16,85
4,200,19,80
4,200,22,80
4,200,25,80
4,200,28,85
4,200,31,90
4,200,34,95
4,200,37,95
4,200,40,90
4,200,43,90
4,200,46,85
4,200,49,65
4,200,52,50
4,200,55,50
4,200,58,70
4,200,61,75
4,500,4,75
4,500,7,85
4,500,10,90
4,500,13,85
4,500,16,80
4,500,19,80
4,500,22,80
4,500,25,85
4,500,28,90
4,500,31,95
4,500,34,95
4,500,37,90
4,500,40,90
4,500,43,85
4,500,46,65
4,500,49,50
4,500,52,50
4,500,55,70
4,500,58,75
4,800,4,85
4,800,7,90
4,800,10,85
4,800,13,80
4,800,16,80
4,800,19,80
4,800,22,85
4,800,25,90
4,800,28,95
